Date,corr_0.05,corr_0.1,corr_0.15,corr_0.2
2002-08-23,0.11629147435,0.115876413536,0.0698349915299,0.012534439967
2002-08-26,0.121251831101,0.120348371398,0.0701148827942,0.012534439967
2002-08-27,0.123069355509,0.122342513906,0.0703947740586,0.012534439967
2002-08-28,0.147443981754,0.146627718178,0.0698238676723,0.0120834047858
2002-08-29,0.150797053478,0.149342553337,0.0701037589367,0.0120834047858
2002-08-30,0.142502870178,0.141259095887,0.0703836502011,0.0120834047858
2002-09-03,0.217470929834,0.185478268486,0.0171527528771,0.00855527947467
2002-09-04,0.197871002314,0.163067551713,0.0181870085323,0.00901965901233
2002-09-05,0.209882085869,0.176244654798,0.0185464578151,0.00901965901233
2002-09-06,0.190148272784,0.153099114736,0.0195807134703,0.00948403854998
2002-09-09,0.191304204812,0.154271830346,0.0199401627063,0.00948403854998
2002-09-10,0.179320049425,0.140942174483,0.0199622088029,0.00925184878115
2002-09-11,0.180648311196,0.14170071519,0.0220086740167,0.0104127976253
2002-09-12,0.202677402219,0.167306569327,0.0220307200666,0.0101806078565
2002-09-13,0.186682242892,0.14901429916,0.0213779597907,0.00948403854998
2002-09-16,0.196683936776,0.160500005211,0.0227496186321,0.0101806078565
2002-09-17,0.208196905909,0.174378837748,0.0234464710544,0.0104127976253
2002-09-18,0.203501621767,0.168993316726,0.0234685171509,0.0101806078565
2002-09-19,0.229135887963,0.198248304689,0.0234905632475,0.00994841808764
2002-09-20,0.218110082005,0.184925128636,0.0251996252284,0.010877177163
2002-09-23,0.223464290825,0.190758806646,0.0252216713249,0.0106449873941
2002-09-24,0.233462604488,0.201933607822,0.0269307333526,0.0115737464694
2002-09-25,0.20611788942,0.170603501549,0.0269527794491,0.0113415567006
2002-09-26,0.183400909768,0.145143675942,0.0273122286852,0.0113415567006
2002-09-27,0.203428122031,0.167858246527,0.0276716779679,0.0113415567006
2002-09-30,0.26952708534,0.200834458449,-0.00207572916621,0.0103865555154
2002-10-01,0.180680905204,0.136286414193,0.0156022050926,-0.00561592977345
2002-10-02,0.20228661977,0.161537338295,0.0158513967374,-0.00559441446647
2002-10-03,0.206112983588,0.166944450687,0.0162581518736,-0.00561592977345
2002-10-04,0.225668491957,0.18830175374,0.0171335460618,-0.00565896038741
2002-10-07,0.254860095199,0.220135645307,0.0183224467237,-0.00574502161533
2002-10-08,0.241194275617,0.205011343986,0.0184952874505,-0.00576653692231
2002-10-09,0.251581871249,0.216294167824,0.0189808242897,-0.00580956753628
2002-10-10,0.213454344864,0.175354288984,0.0191560958442,-0.0058956287642
2002-10-11,0.204841047685,0.15828569571,0.0186296241705,-0.00598168999212
2002-10-14,0.210325427665,0.161489357463,0.018957597561,-0.00598168999212
2002-10-15,0.193222018113,0.140815159456,0.0180364068402,-0.00593865937816
2002-10-16,0.2097907313,0.1591402255,0.0181288452695,-0.0058956287642
2002-10-17,0.193159842147,0.140775782186,0.0177550754318,-0.0058956287642
2002-10-18,0.188774035102,0.135970827515,0.0183177734649,-0.00591714407118
2002-10-21,0.184837546632,0.132173442692,0.0180991362909,-0.0058956287642
2002-10-22,0.19369579344,0.141296550875,0.0178668424333,-0.00593865937816
2002-10-23,0.185930975736,0.132448910899,0.0178668424333,-0.00593865937816
2002-10-24,0.193072984457,0.140594865778,0.0183338609762,-0.00591714407118
2002-10-25,0.158128695102,0.10355455992,0.0181610202494,-0.0058956287642
2002-10-28,0.166305283327,0.112866312408,0.0175991324922,-0.0058956287642
2002-10-29,0.171668293158,0.124266840618,0.017582234705,-0.00587411345722
2002-10-30,0.162994438037,0.114381491384,0.0170195366292,-0.00585259815024
