Date,R_1M,R_3M,R_6M,R_12M
2009-02-17,-0.006500500525868924,0.14483571347111535,0.24146888503110864,0.39324860296260633
2009-02-18,-0.025214986935897077,0.1267217980264328,0.2552573501433246,0.40375688085030825
2009-02-19,0.05646134490461385,0.1387269879579942,0.27925129021490736,0.4239479292371684
2009-02-20,0.0468411142133629,0.18216998896175585,0.30818778001428493,0.4388805921693397
2009-02-23,0.09491073951004259,0.20143139655334763,0.38045013654769755,0.4725626572316466
2009-02-24,0.07724344879323275,0.17291822955738945,0.326499728380371,0.42954704193289706
2009-02-25,0.0667276768204994,0.20164727415348405,0.3439665315727547,0.44194012289188134
2009-02-26,0.04609274338163982,0.25243414847973633,0.3656735252314598,0.4671174103051152
2009-02-27,0.08540450829150159,0.2852031724006583,0.40252214014610455,0.5177869376538926
2009-03-02,0.15732998487486083,0.3295282668873605,0.4681801318455523,0.5957164464484459
2009-03-03,0.19825370154955269,0.35346746513865557,0.4657130958022775,0.6066951014605142
2009-03-04,0.18184241165991,0.31873974216897905,0.4000308611668326,0.5752802053670374
2009-03-05,0.2240568456523333,0.375928503406344,0.4574023881034357,0.668302688447733
2009-03-06,0.19340630395972958,0.37907167315402845,0.4680558400889696,0.6659837864731188
2009-03-09,0.21969461812484292,0.388186776639617,0.5023724003370138,0.6857345572258438
2009-03-10,0.19032795997776542,0.31307670928293496,0.42494441356309065,0.5920094496942745
2009-03-11,0.19043196184983913,0.31170289453254973,0.43253022069424407,0.5945436397915049
2009-03-12,0.12089405120281316,0.23041265950928413,0.39081439646215754,0.531808615499374
2009-03-13,0.12624413455819172,0.20543255568039132,0.37826977727843514,0.5207322714956051
2009-03-16,0.14778018013237992,0.20801443181365986,0.39190067516481175,0.5379697303320115
2009-03-17,0.1175654140749498,0.18024212203773193,0.3527862026422661,0.49875340564437365
2009-03-18,0.04788821048656122,0.15972807956190604,0.3454522565619689,0.4676527978850631
2009-03-19,0.08423039640834662,0.13902351920820366,0.35897403193714617,0.4793888066935361
2009-03-20,0.09760064537955082,0.16467587893928748,0.3900382543524086,0.5169151898404767
2009-03-23,0.035240363583337375,0.09480872988868927,0.2937588100908961,0.4268337140912848
2009-03-24,0.07456706197588447,0.14159182255743552,0.32940505135711806,0.4485684513471939
2009-03-25,0.05360741141200176,0.12903622155600325,0.3034722563522876,0.4323118887305255
2009-03-26,0.026775208318324806,0.11330835914799597,0.2616526186874144,0.400703599644598
2009-03-27,0.0707159840184326,0.12670049268328554,0.27997156653675526,0.43787533397063494
2009-03-30,0.10828793823727345,0.1724378753825253,0.3497644534176476,0.48980991200335233
2009-03-31,0.099828292829659,0.12351636231466268,0.3293017659518467,0.4656898993570382
2009-04-01,0.11855797208660057,0.1080534595847511,0.3032993046308623,0.4525077674212159
2009-04-02,0.08319950142620858,0.05590977731968638,0.23426975718497567,0.4231405354874278
2009-04-03,0.09143026706231461,0.04398813056379813,0.21686646884272998,0.41179821958456975
2009-04-06,0.08607028295111796,0.05649447024464971,0.2453439938717863,0.41529420213529944
2009-04-07,0.13939059530378284,0.07795965912574343,0.2932622156826683,0.45477285267610834
2009-04-08,0.1018953899849726,0.09197004217363913,0.28166658587425464,0.4474404963885792
2009-04-09,0.0604627813579901,0.05753245540300744,0.24390585598206793,0.39684318670028973
2009-04-13,0.029334016512757133,0.08611554272006328,0.24776122879135465,0.3942682799017152
2009-04-14,0.061283422459893044,0.11793226381461674,0.2788948306595367,0.43868092691622107
2009-04-15,0.03617116165528245,0.10365467220618263,0.25952397718470555,0.42204774311668203
2009-04-16,0.05132324049462622,0.09919103201201906,0.26201317462151863,0.37770715358835116
2009-04-17,0.04430772769089231,0.0977230910763569,0.2609935602575897,0.3770929162833485
2009-04-20,0.08539266449620975,0.1461814774324537,0.30669517894256315,0.45024567810761784
2009-04-21,0.044995765104460794,0.14846837944664015,0.29153726708074545,0.4186194240542067
2009-04-22,0.05150850571987431,0.16087961590895627,0.2934147353446743,0.43283741331278547
2009-04-23,0.06856277584749759,0.15290168090900558,0.26936801577612934,0.42886656024039826
2009-04-24,0.03097329808480409,0.13090056913290926,0.26168569548503284,0.3992242245131199
2009-04-27,0.05751536425231207,0.13718790451423302,0.2589940642091637,0.3804037270702383
2009-04-28,0.07481640862528649,0.15387763693343937,0.24766125637307645,0.39314280368585997
2009-04-29,0.07924316652167951,0.13030538894739263,0.21721761824092312,0.3813241151961906
2009-04-30,0.08241197969775782,0.14873798421191342,0.19456697333898587,0.3596200776801368
2009-05-01,0.06181055702434124,0.14601376606800986,0.214912480627222,0.3700656395295834
2009-05-04,0.03882103963670036,0.10524227326837443,0.1421343856091002,0.2935937568890259
2009-05-05,0.04015268864793109,0.10320867448550564,0.15388360256693967,0.2899977871210446
2009-05-06,0.021326112252998852,0.09890922536513225,0.13689602296825565,0.22687677400411088
2009-05-07,0.0386162510056316,0.10988659782452981,0.15330783896670663,0.22425858781780716
2009-05-08,0.010675505526080764,0.07007952821153007,0.14786436081486842,0.24805484110500098
