Date,ShortVolume,ShortExemptVolume,TotalVolume,SI
2015/7/24,109646,0,155107,0.775769542
2015/7/27,221355,0,330146,1.521780529
2015/7/28,133923,0,177660,0.953004116
2015/7/29,1664241,0,1809217,8.411005096
2015/7/30,170191,1400,387924,0.82686538
2015/7/31,53447,0,133097,0.257835769
2015/8/3,62048,0,242240,0.293457045
2015/8/4,84559,0,129606,0.405218706
2015/8/5,39543,0,77187,0.190327532
2015/8/6,114234,0,160510,0.544353859
2015/8/7,131407,0,307037,0.607362374
2015/8/10,195243,0,440082,0.864086269
2015/8/11,173558,0,309337,0.746457126
2015/8/12,159555,0,267261,0.677635145
2015/8/13,63407,0,120108,0.269586362
2015/8/14,41915,0,105651,0.182358403
2015/8/17,37273,0,87957,0.162383147
2015/8/18,58257,0,150545,0.252779554
2015/8/19,83567,0,154841,0.361669374
2015/8/20,68330,0,218702,0.291226674
2015/8/21,136007,0,214532,0.565883869
2015/8/24,90237,3274,181433,0.370600716
2015/8/25,208954,34693,411613,0.817590064
2015/8/26,137604,0,269765,0.529815026
2015/8/27,115299,0,216972,0.440713572
2015/8/28,92213,0,182260,0.348812754
2015/8/31,49020,0,147461,0.190591054
2015/9/1,42195,0,119021,0.16507103
2015/9/2,50755,0,111497,0.196980576
2015/9/3,60437,0,105540,0.234727792
2015/9/4,23078,0,75379,0.090566115
2015/9/8,27722,0,194185,0.110760699
2015/9/9,76256,0,252457,0.30166876
2015/9/10,22205,1709,90416,0.113588
2015/9/11,27635,0,112540,0.14832986
2015/9/14,32716,0,82426,0.177208484
2015/9/15,25787,0,96035,0.143464193
2015/9/16,38512,0,249570,0.20959596
2015/9/17,23753,0,103711,0.128653199
2015/9/18,110925,10172,270532,0.589100538
2015/9/21,48834,0,157833,0.266383643
2015/9/22,136728,0,218756,0.777108543
2015/9/23,40785,0,96577,0.241542127
2015/9/24,61797,0,112619,0.377506601
2015/9/25,61748,0,118945,0.377296619
2015/9/28,54334,0,168118,0.327824211
2015/9/29,17048,0,90853,0.102799241
2015/9/30,68384,0,132596,0.413847779
2015/10/1,114805,0,190737,0.689784524
2015/10/2,57302,0,152620,0.348906099
2015/10/5,55453,0,104279,0.345376318
2015/10/6,37163,0,90360,0.235921952
2015/10/7,52021,200,101770,0.353417138
2015/10/8,54847,0,107346,0.386844817
2015/10/9,118528,0,236197,0.83223565
2015/10/12,25672,0,82321,0.184571274
2015/10/13,55162,0,87700,0.402354911
2015/10/14,84669,0,132337,0.615587705
2015/10/15,86385,100,179953,0.61781416
2015/10/16,109003,0,424133,0.724545072
2015/10/19,91714,0,262197,0.585393689
2015/10/20,125422,0,201497,0.79930221
2015/10/21,100752,0,160435,0.65488454
2015/10/22,133564,0,219937,0.844463459
2015/10/23,285633,0,413559,1.698191956
2015/10/26,70445,0,159550,0.412516082
2015/10/27,27676,0,168913,0.159793655
2015/10/28,35729,0,133567,0.211000191
2015/10/29,127538,15952,301680,0.724933719
2015/10/30,18049,420,55530,0.10694827
2015/11/2,135025,0,337346,0.772685862
2015/11/3,23755,0,89850,0.139365784
2015/11/4,152202,0,380449,0.845974928
2015/11/5,62173,6806,328900,0.33225828
2015/11/6,68484,7610,150583,0.363933762
2015/11/9,163400,16410,426672,0.830303257
2015/11/10,194190,17813,554685,0.914883068
2015/11/11,254647,26228,1027414,1.051895644
2015/11/12,436781,32849,1643198,1.503552849
2015/11/13,59524,800,490335,0.197258429
2015/11/16,39443,8565,208577,0.12922258
2015/11/17,42319,0,128361,0.138071898
2015/11/18,54698,0,146290,0.177600289
2015/11/19,11004,0,136068,0.035618436
