Date,PCR
2009/12/8,-1.596005375
2009/12/9,-1.584412796
2009/12/10,-1.582346056
2009/12/11,-1.580484538
2009/12/14,-1.579828545
2009/12/15,-1.584357632
2009/12/16,-1.591326147
2009/12/17,-1.592968605
2009/12/18,-1.594597754
2009/12/21,-1.587159137
2009/12/22,-1.587213405
2009/12/23,-1.596771386
2009/12/24,-1.59808424
2009/12/28,-1.603579211
2009/12/29,-1.6044091
2009/12/30,-1.605615627
2009/12/31,-1.609459569
2010/1/4,-1.613052023
2010/1/5,-1.612333372
2010/1/6,-1.619539667
2010/1/7,-1.613498467
2010/1/8,-1.612027843
2010/1/11,-1.60954688
2010/1/12,-1.605039676
2010/1/13,-1.598416791
2010/1/14,-1.595981054
2010/1/15,-1.594786014
2010/1/19,-1.591554049
2010/1/20,-1.589525817
2010/1/21,-1.592159853
2010/1/22,-1.59604353
2010/1/25,-1.596435304
2010/1/26,-1.594323497
2010/1/27,-1.585485892
2010/1/28,-1.58854131
2010/1/29,-1.589817447
2010/2/1,-1.589403221
2010/2/2,-1.596376905
2010/2/3,-1.595827088
2010/2/4,-1.593426769
2010/2/5,-1.582605358
2010/2/8,-1.589609866
2010/2/9,-1.59191749
2010/2/10,-1.595486539
2010/2/11,-1.596766362
2010/2/12,-1.591902793
2010/2/16,-1.599021913
2010/2/17,-1.597068501
2010/2/18,-1.600196022
2010/2/19,-1.602147904
2010/2/22,-1.602430991
2010/2/23,-1.600068061
2010/2/24,-1.600725511
2010/2/25,-1.592648513
2010/2/26,-1.599976475
2010/3/1,-1.591491356
2010/3/2,-1.595203363
2010/3/3,-1.600529727
2010/3/4,-1.594462072
2010/3/5,-1.593305461
2010/3/8,-1.593897998
2010/3/9,-1.590612949
2010/3/10,-1.590334654
2010/3/11,-1.587194024
2010/3/12,-1.584892725
2010/3/15,-1.57861232
2010/3/16,-1.582808674
2010/3/17,-1.585687049
2010/3/18,-1.583611675
2010/3/19,-1.581076612
2010/3/22,-1.579821334
2010/3/23,-1.576865265
2010/3/24,-1.574011443
2010/3/25,-1.573198988
2010/3/26,-1.571658034
2010/3/29,-1.578636475
2010/3/30,-1.579890668
2010/3/31,-1.584418214
2010/4/1,-1.587600445
2010/4/5,-1.591163989
2010/4/6,-1.590656553
2010/4/7,-1.590684342
2010/4/8,-1.585732153
2010/4/9,-1.583240032
2010/4/12,-1.581990437
2010/4/13,-1.581901475
2010/4/14,-1.582938863
2010/4/15,-1.583282252
2010/4/16,-1.58302888
2010/4/19,-1.573927343
2010/4/20,-1.574376037
2010/4/21,-1.576104322
2010/4/22,-1.57582188
2010/4/23,-1.577924274
2010/4/26,-1.577081647
2010/4/27,-1.580425558
2010/4/28,-1.578773379
2010/4/29,-1.577832615
2010/4/30,-1.58962941
2010/5/3,-1.586483522
2010/5/4,-1.582965596
2010/5/5,-1.574174993
2010/5/6,-1.577745271
2010/5/7,-1.578066812
2010/5/10,-1.567208301
2010/5/11,-1.568251376
2010/5/12,-1.563554831
2010/5/13,-1.565671559
2010/5/14,-1.558285111
2010/5/17,-1.545617011
2010/5/18,-1.551185093
2010/5/19,-1.549189397
2010/5/20,-1.558613958
2010/5/21,-1.552120963
2010/5/24,-1.557794043
2010/5/25,-1.549656223
2010/5/26,-1.563201757
2010/5/27,-1.562256338
2010/5/28,-1.56416348
2010/6/1,-1.565188376
2010/6/2,-1.555724789
2010/6/3,-1.560503498
2010/6/4,-1.562334076
2010/6/7,-1.567140041
2010/6/8,-1.564515759
2010/6/9,-1.575527525
2010/6/10,-1.567755215
2010/6/11,-1.562897781
2010/6/14,-1.569696198
2010/6/15,-1.566700481
2010/6/16,-1.569894703
2010/6/17,-1.569291018
2010/6/18,-1.569976359
2010/6/21,-1.573149388
2010/6/22,-1.576867867
2010/6/23,-1.571103061
2010/6/24,-1.579553726
2010/6/25,-1.586359286
2010/6/28,-1.584756775
2010/6/29,-1.585624692
2010/6/30,-1.591109916
2010/7/1,-1.583319256
2010/7/2,-1.582192385
2010/7/6,-1.579776931
2010/7/7,-1.575498843
2010/7/8,-1.576520624
2010/7/9,-1.575797674
2010/7/12,-1.569903139
2010/7/13,-1.572502517
2010/7/14,-1.572644131
2010/7/15,-1.57330208
2010/7/16,-1.581838185
2010/7/19,-1.580441407
2010/7/20,-1.577741256
2010/7/21,-1.58130094
2010/7/22,-1.583400079
2010/7/23,-1.578011997
2010/7/26,-1.573501507
2010/7/27,-1.567712159
2010/7/28,-1.571555529
2010/7/29,-1.580795869
2010/7/30,-1.58619716
2010/8/2,-1.586404071
2010/8/3,-1.591750747
2010/8/4,-1.59140652
2010/8/5,-1.59062527
2010/8/6,-1.585180416
2010/8/9,-1.584201804
2010/8/10,-1.580956673
2010/8/11,-1.584494683
2010/8/12,-1.5811974
2010/8/13,-1.580607975
2010/8/16,-1.578982652
2010/8/17,-1.577963108
2010/8/18,-1.576091241
2010/8/19,-1.580075893
2010/8/20,-1.577605684
2010/8/23,-1.576850807
2010/8/24,-1.576408916
2010/8/25,-1.57597823
2010/8/26,-1.584617877
2010/8/27,-1.584899832
2010/8/30,-1.59099809
2010/8/31,-1.581507892
2010/9/1,-1.577291756
2010/9/2,-1.577484873
2010/9/3,-1.573218498
2010/9/7,-1.578570643
2010/9/8,-1.577075568
2010/9/9,-1.57406259
2010/9/10,-1.577252677
2010/9/13,-1.576653555
2010/9/14,-1.578411802
2010/9/15,-1.574645329
2010/9/16,-1.571248727
2010/9/17,-1.572817301
2010/9/20,-1.569692452
2010/9/21,-1.566151706
2010/9/22,-1.567814504
2010/9/23,-1.572899966
2010/9/24,-1.569820023
2010/9/27,-1.570589525
2010/9/28,-1.568427882
2010/9/29,-1.575160398
2010/9/30,-1.581957161
2010/10/1,-1.582875819
2010/10/4,-1.584838003
2010/10/5,-1.582921946
2010/10/6,-1.584813251
2010/10/7,-1.57924876
2010/10/8,-1.585732279
2010/10/11,-1.585303559
2010/10/12,-1.583916951
2010/10/13,-1.584664098
2010/10/14,-1.585046617
2010/10/15,-1.577963999
2010/10/18,-1.581419272
2010/10/19,-1.574271794
2010/10/20,-1.580029808
2010/10/21,-1.571704002
2010/10/22,-1.574431078
2010/10/25,-1.5769533
2010/10/26,-1.57810918
2010/10/27,-1.576475036
2010/10/28,-1.578643081
2010/10/29,-1.576645255
2010/11/1,-1.580492677
2010/11/2,-1.581058764
2010/11/3,-1.581561682
2010/11/4,-1.582942902
2010/11/5,-1.58310013
2010/11/8,-1.585657302
2010/11/9,-1.590607435
2010/11/10,-1.58961207
2010/11/11,-1.589508667
2010/11/12,-1.579705241
2010/11/15,-1.581897954
2010/11/16,-1.574755957
2010/11/17,-1.570225861
2010/11/18,-1.572483203
2010/11/19,-1.56722191
2010/11/22,-1.566388314
2010/11/23,-1.57121787
2010/11/24,-1.574945623
2010/11/26,-1.579263795
2010/11/29,-1.583540772
2010/11/30,-1.581313036
2010/12/1,-1.584986454
2010/12/2,-1.585271086
2010/12/3,-1.589629606
2010/12/6,-1.590861365
