Date,realCorr_0.05,realCorr_0.1,realCorr_0.15,realCorr_0.2
2000-04-14,0.155405748662,0.096756354687,0.096756354687,0.0990710856831
2000-04-17,0.12067170248,0.0614754745153,0.0614754745153,0.0632186325725
2000-04-18,0.0975844125977,0.0394616837719,0.0394616837719,0.0408489289605
2000-04-19,0.107233135997,0.0464443505764,0.0464443505764,0.0479451008727
2000-04-20,0.0999923491724,0.0373668736444,0.0373668736444,0.0387200671369
2000-04-24,0.117005247913,0.0491598428872,0.0491598428872,0.0507047342339
2000-04-25,0.0996261701139,0.0326341719961,0.0326341719961,0.0339104341634
2000-04-26,0.113741556545,0.0460564164532,0.0460564164532,0.0475508607772
2000-04-27,0.111988331909,0.0400047806823,0.0400047806823,0.0414008540559
2000-04-28,0.116680849177,0.0400823659552,0.0400823659552,0.041479700498
